mouse,method,model,input,n_trials,n_features,clip_frames,cv_folds,mean_acc,std_acc,mean_f1,std_f1,source,cache_path,best_model
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,720,720,240,5,0.8819444444444444,0.015835769793043575,0.7681596843127945,0.04349501600201454,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip240.npz,cnn3d
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,720,720,240,5,0.913888888888889,0.007081971546656651,0.836395278535765,0.02627348954795286,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip240.npz,cnn3d
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn1d,vector,720,720,240,5,0.711111111111111,0.034749988897768896,0.3714597126986899,0.048057773056583354,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip240.npz,cnn3d
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn3d,grid,720,720,240,5,0.9986111111111111,0.002777777777777768,0.9977607655502393,0.004478468899521548,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip240.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,704,900,300,5,0.9517122593718339,0.02259127387378847,0.9105791325345857,0.046813759500467435,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip300.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,704,900,300,5,0.9658966565349545,0.011393667913973024,0.9379024832575551,0.02182672807933699,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip300.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn1d,vector,704,900,300,5,0.843677811550152,0.03458991493901478,0.5807045189281956,0.13105734592305576,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip300.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn3d,grid,704,900,300,5,1.0,0.0,1.0,0.0,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip300.npz,cnn3d
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,729,720,240,5,0.953311289560699,0.018293229068391693,0.9206231762395124,0.03312656984206049,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip240.npz,cnn3d
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,729,720,240,5,0.9560793575814831,0.015475766522664011,0.9271197410482855,0.02729263735742181,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial1_clip240.npz,cnn3d
